vibration_1,vibration_2,moisture_1,moisture_2
2.01,2.84,11.95,11.38
2.57,2.04,12.03,12.13
2.36,2.68,11.29,12.62
2.74,2.37,12.51,12.22
2.6,2.33,11.61,12.78
2.91,2.85,11.33,11.36
2.61,2.92,12.71,11.08
2.02,2.4,11.07,11.57
2.39,2.89,12.0,11.32
2.74,2.09,11.14,12.9
2.66,2.13,12.88,12.55
2.68,2.79,12.31,12.22
2.66,2.87,12.17,12.87
2.2,2.29,12.87,12.92
2.18,2.9,12.7,11.38
2.52,2.8,12.21,11.98
2.61,2.61,11.68,11.14
2.99,2.68,12.79,12.12
2.78,2.12,11.4,12.43
2.56,2.99,11.54,12.61
2.05,2.72,12.82,11.04
2.45,2.1,11.51,11.23
2.86,2.8,11.1,11.72
2.74,2.7,12.54,11.8
2.08,2.36,12.8,12.64
2.02,2.76,11.63,12.78
8.75,8.45,22.8,21.98
2.94,2.48,12.18,11.28
2.7,2.07,11.62,12.98
2.05,2.5,12.4,11.78
2.18,2.79,13.0,12.44
2.85,2.6,11.55,11.1
2.67,2.5,12.31,12.3
2.13,2.93,12.87,12.94
2.81,2.11,11.17,11.22
2.51,2.78,12.08,12.75
2.57,2.51,11.04,11.94
2.94,2.62,11.96,11.39
2.36,2.89,12.79,11.53
2.17,2.31,12.13,12.21
2.85,2.51,12.13,12.46
2.22,2.22,11.44,11.24
2.38,2.79,11.25,11.37
2.71,2.36,12.1,11.53
2.83,2.98,12.47,12.65
2.25,2.72,12.14,11.54
2.57,2.02,12.23,12.26
2.44,2.68,12.01,12.79
2.8,2.01,11.4,12.3
2.05,2.13,12.13,12.62
2.58,2.34,12.16,12.76
2.51,2.44,12.11,11.53
2.63,2.68,12.24,12.31
2.2,2.16,12.97,12.78
2.16,2.13,11.01,11.89
2.61,2.9,12.11,11.55
2.43,2.8,12.91,11.84
2.51,2.5,11.82,11.31
2.91,2.4,11.86,11.05
2.29,2.93,11.49,11.12
2.09,2.23,11.3,12.88
2.54,2.82,11.71,11.39
2.09,2.67,11.41,13.0
2.58,2.99,11.14,12.69
2.38,2.24,12.64,12.63
2.46,2.44,12.96,12.69
2.89,2.57,12.54,12.36
2.7,2.14,11.88,11.77
2.88,2.77,11.6,11.04
2.23,2.69,11.92,11.56
2.74,2.39,11.72,11.54
2.84,2.56,11.43,11.07
2.67,2.8,11.34,11.4
2.83,2.09,11.34,11.77
2.19,2.91,11.19,12.44
2.7,2.05,11.45,12.3
2.54,2.64,11.07,12.6
2.11,2.27,12.49,11.13
2.14,2.06,11.08,12.39
2.98,2.2,12.11,11.46
2.58,2.99,11.06,11.85
2.83,2.88,11.86,11.16
2.81,2.98,11.4,11.95
2.34,2.68,13.0,11.33
2.9,2.6,12.9,11.1
2.79,2.44,11.06,11.79
2.68,2.94,11.86,12.65
2.5,2.15,12.16,12.22
8.3,8.65,21.91,21.99
2.72,2.44,12.41,11.16
2.58,2.5,11.04,11.57
2.0,2.18,11.88,12.16
2.48,2.65,12.82,12.26
8.75,8.94,22.5,22.66
2.7,2.2,12.37,11.23
2.45,2.78,12.15,11.22
2.42,2.87,12.06,11.67
3.0,2.25,11.19,11.22
2.8,2.62,12.18,12.51
2.69,2.43,12.01,12.41
2.38,2.65,11.12,12.86
2.77,2.42,12.93,12.59
2.01,2.36,11.14,11.35
8.91,8.16,21.73,22.95
2.08,2.06,11.41,11.3
2.39,2.3,12.14,11.82
2.62,2.41,11.88,11.59
2.62,2.71,12.44,11.28
2.11,2.27,11.24,11.23
3.0,2.92,12.3,12.44
2.46,2.53,12.52,11.01
2.15,2.7,11.44,11.62
2.48,2.34,11.71,12.61
2.32,2.07,11.38,11.46
2.57,2.46,11.02,11.14
2.87,2.62,12.02,11.08
2.57,2.63,11.14,11.91
2.79,2.83,11.97,11.61
2.24,2.21,11.14,11.52
2.19,2.53,12.38,12.77
2.36,2.61,12.99,11.29
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.65,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.66,0.0,0.0,0.0
3.7,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.88,0.0,0.0,0.0
3.79,0.0,0.0,0.0
3.58,0.0,0.0,0.0
6.27,0.0,0.0,0.0
3.95,0.0,0.0,0.0
5.92,0.0,0.0,0.0
5.38,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.66,0.0,0.0,0.0
5.62,0.0,0.0,0.0
5.54,0.0,0.0,0.0
4.93,0.0,0.0,0.0
6.67,0.0,0.0,0.0
8.25,0.0,0.0,0.0
5.5,0.0,0.0,0.0
4.53,0.0,0.0,0.0
8.5,0.0,0.0,0.0
7.58,0.0,0.0,0.0
6.56,0.0,0.0,0.0
3.64,0.0,0.0,0.0
3.64,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.63,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.85,0.0,0.0,0.0
5.85,0.0,0.0,0.0
4.26,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
4.63,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.46,0.0,0.0,0.0
8.31,0.0,0.0,0.0
9.89,0.0,0.0,0.0
9.35,0.0,0.0,0.0
8.03,0.0,0.0,0.0
7.73,0.0,0.0,0.0
13.15,0.0,0.0,0.0
15.41,0.0,0.0,0.0
11.16,0.0,0.0,0.0
10.93,0.0,0.0,0.0
6.45,0.0,0.0,0.0
8.92,0.0,0.0,0.0
4.65,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.54,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.54,0.0,0.0,0.0
4.43,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.52,0.0,0.0,0.0
4.52,0.0,0.0,0.0
4.67,0.0,0.0,0.0
4.56,0.0,0.0,0.0
4.52,0.0,0.0,0.0
3.93,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.63,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
4.66,0.0,0.0,0.0
4.53,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.49,0.0,0.0,0.0
4.48,0.0,0.0,0.0
4.63,0.0,0.0,0.0
4.58,0.0,0.0,0.0
4.5,0.0,0.0,0.0
13.32,0.0,0.0,0.0
10.19,0.0,0.0,0.0
4.54,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.63,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.63,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
4.57,0.0,0.0,0.0
4.7,0.0,0.0,0.0
4.67,0.0,0.0,0.0
4.72,0.0,0.0,0.0
4.71,0.0,0.0,0.0
4.66,0.0,0.0,0.0
4.6,0.0,0.0,0.0
4.05,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
4.58,0.0,0.0,0.0
4.65,0.0,0.0,0.0
4.56,0.0,0.0,0.0
4.63,0.0,0.0,0.0
7.05,0.0,0.0,0.0
4.68,0.0,0.0,0.0
8.18,0.0,0.0,0.0
6.3,0.0,0.0,0.0
6.57,0.0,0.0,0.0
7.77,0.0,0.0,0.0
12.48,0.0,0.0,0.0
14.18,0.0,0.0,0.0
4.29,0.0,0.0,0.0
3.66,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.63,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.66,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.57,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.64,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.64,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.61,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.59,0.0,0.0,0.0
3.62,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.58,0.0,0.0,0.0
